GTDB R95 genus	Number of genomes	Number of NCBI genera	List of NCBI genera
g__Neisseria	2812	6	g__Neisseria 99.61%, g__Morococcus 0.18%, g__Bergeriella 0.11%, g__Psychrobacter(f__Moraxellaceae) 0.04%, g__Kingella 0.04%, g__Uruburuella 0.04%
g__Campylobacter_D	2570	1	g__Campylobacter 100.0%
g__Bacillus_A	2487	2	g__Bacillus(f__Bacillaceae) 99.68%, g__Streptococcus(f__Streptococcaceae) 0.32%
g__Clostridioides	2018	3	g__Clostridioides 99.21%, g__Clostridium(f__Clostridiaceae) 0.69%, g__Peptoclostridium 0.1%
g__Enterococcus_B	1863	4	g__Enterococcus 99.84%, g__Listeria(f__Listeriaceae) 0.05%, g__(f__Bradyrhizobiaceae) 0.05%, g__Lactobacillus(f__Lactobacillaceae) 0.05%
g__Enterobacter	1719	9	g__Enterobacter 98.95%, g__Klebsiella 0.41%, g__Lelliottia 0.17%, g__Leclercia 0.12%, g__Escherichia 0.12%, g__Pantoea(f__Erwiniaceae) 0.06%, g__Acinetobacter(f__Moraxellaceae) 0.06%, g__Pedobacter(f__Sphingobacteriaceae) 0.06%, g__(f__Bradyrhizobiaceae) 0.06%
g__Enterococcus	1458	3	g__Enterococcus 99.86%, g__Listeria(f__Listeriaceae) 0.07%, g__(f__Bradyrhizobiaceae) 0.07%
g__Streptomyces	1335	6	g__Streptomyces 99.18%, g__(f__Bradyrhizobiaceae) 0.37%, g__Kitasatospora 0.22%, g__Actinospica(f__Actinospicaceae) 0.07%, g__Streptosporangium(f__Streptosporangiaceae) 0.07%, g__Microtetraspora(f__Streptosporangiaceae) 0.07%
g__Bifidobacterium	1096	5	g__Bifidobacterium 89.23%, g__Gardnerella 9.03%, g__(f__Bradyrhizobiaceae) 1.46%, g__Peptoniphilus(f__Peptoniphilaceae) 0.18%, g__Bombiscardovia 0.09%
g__Bordetella	987	2	g__Bordetella(f__Alcaligenaceae) 99.9%, g__Clostridioides(f__Peptostreptococcaceae) 0.1%
g__Bacillus	973	4	g__Bacillus 99.49%, g__Paenibacillus(f__Paenibacillaceae) 0.31%, g__Streptococcus(f__Streptococcaceae) 0.1%, g__Jeotgalibacillus(f__Planococcaceae) 0.1%
g__Legionella	910	3	g__Legionella 98.24%, g__Fluoribacter 1.65%, g__(f__Bradyrhizobiaceae) 0.11%
g__Corynebacterium	856	5	g__Corynebacterium(f__Corynebacteriaceae) 99.07%, g__(f__Bradyrhizobiaceae) 0.58%, g__Pseudomonas(f__Pseudomonadaceae) 0.12%, g__Streptococcus(f__Streptococcaceae) 0.12%, g__Clostridium(f__Clostridiaceae) 0.12%
g__Mesorhizobium	757	4	g__Mesorhizobium(f__Phyllobacteriaceae) 97.49%, g__(f__Bradyrhizobiaceae) 2.11%, g__Aquamicrobium(f__Phyllobacteriaceae) 0.26%, g__Pseudaminobacter(f__Phyllobacteriaceae) 0.13%
g__Rhizobium	722	3	g__Rhizobium 67.59%, g__(f__Bradyrhizobiaceae) 29.92%, g__Agrobacterium 2.49%
g__Prevotella	720	2	g__Prevotella(f__Prevotellaceae) 83.61%, g__(f__Bradyrhizobiaceae) 16.39%
g__Bacteroides	639	3	g__Bacteroides 99.37%, g__(f__Bradyrhizobiaceae) 0.31%, g__Mediterranea 0.31%
g__Serratia	623	3	g__Serratia(f__Yersiniaceae) 99.2%, g__Shigella 0.64%, g__Klebsiella 0.16%
g__Agrobacterium	587	5	g__(f__Bradyrhizobiaceae) 71.21%, g__Agrobacterium 21.64%, g__Rhizobium 6.81%, g__Sphingomonas(f__Sphingomonadaceae) 0.17%, g__Bradyrhizobium(f__Bradyrhizobiaceae) 0.17%
g__Stenotrophomonas	541	4	g__Stenotrophomonas 98.71%, g__(f__Bradyrhizobiaceae) 0.92%, g__Xanthomonas 0.18%, g__Pseudomonas(f__Pseudomonadaceae) 0.18%
g__Lactiplantibacillus	511	1	g__Lactobacillus 100.0%
g__Flavobacterium	470	2	g__Flavobacterium 96.6%, g__(f__Bradyrhizobiaceae) 3.4%
g__Collinsella	451	2	g__Collinsella 99.78%, g__(f__Bradyrhizobiaceae) 0.22%
g__Lacticaseibacillus	406	1	g__Lactobacillus 100.0%
g__Klebsiella_A	405	4	g__Klebsiella 99.26%, g__Enterobacter 0.25%, g__Proteus(f__Morganellaceae) 0.25%, g__(f__Bradyrhizobiaceae) 0.25%
g__Rhodococcus	356	2	g__Rhodococcus(f__Nocardiaceae) 99.72%, g__(f__Bradyrhizobiaceae) 0.28%
g__Prochlorococcus_A	334	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__Pseudomonas_A	332	2	g__Pseudomonas 99.1%, g__(f__Bradyrhizobiaceae) 0.9%
g__Citrobacter	329	4	g__Citrobacter 96.96%, g__Escherichia 1.82%, g__Salmonella 0.91%, g__Enterobacter 0.3%
g__Cutibacterium	329	3	g__Cutibacterium 89.36%, g__Propionibacterium 10.33%, g__Acidipropionibacterium 0.3%
g__Pseudoalteromonas	303	3	g__Pseudoalteromonas(f__Pseudoalteromonadaceae) 98.68%, g__(f__Bradyrhizobiaceae) 0.99%, g__Colwellia(f__Colwelliaceae) 0.33%
g__Microbacterium	297	5	g__Microbacterium 97.64%, g__(f__Bradyrhizobiaceae) 1.35%, g__Frigoribacterium 0.34%, g__Zhihengliuella(f__Micrococcaceae) 0.34%, g__Hymenobacter(f__Hymenobacteraceae) 0.34%
g__Sinorhizobium	293	3	g__Sinorhizobium 93.52%, g__Ensifer 6.14%, g__Mesorhizobium(f__Phyllobacteriaceae) 0.34%
g__Sphingomonas	282	7	g__Sphingomonas 94.68%, g__(f__Bradyrhizobiaceae) 3.55%, g__Neisseria(f__Neisseriaceae) 0.35%, g__Arthrobacter(f__Micrococcaceae) 0.35%, g__Bacillus(f__Bacillaceae) 0.35%, g__Hephaestia 0.35%, g__Stakelama 0.35%
g__Francisella	278	2	g__Francisella 98.92%, g__(f__Bradyrhizobiaceae) 1.08%
g__Pantoea	269	4	g__Pantoea(f__Erwiniaceae) 93.31%, g__(f__Bradyrhizobiaceae) 4.83%, g__Enterobacter 1.49%, g__Erwinia(f__Erwiniaceae) 0.37%
g__Paenibacillus	268	2	g__Paenibacillus 98.88%, g__Bacillus(f__Bacillaceae) 1.12%
g__Limosilactobacillus	252	3	g__Lactobacillus 99.21%, g__(f__Bradyrhizobiaceae) 0.4%, g__Gardnerella(f__Bifidobacteriaceae) 0.4%
g__Micromonospora	241	7	g__Micromonospora 51.87%, g__Salinispora 39.42%, g__Verrucosispora 3.32%, g__Plantactinospora 2.07%, g__Jishengella 2.07%, g__Xiangella 0.83%, g__(f__Bradyrhizobiaceae) 0.41%
g__Phocaeicola	240	3	g__Bacteroides 98.75%, g__(f__Bradyrhizobiaceae) 0.83%, g__Phocaeicola(f__) 0.42%
g__Bradyrhizobium	230	4	g__Bradyrhizobium(f__Bradyrhizobiaceae) 95.22%, g__(f__Bradyrhizobiaceae) 3.48%, g__Afipia(f__Bradyrhizobiaceae) 0.87%, g__Rhizobium(f__Rhizobiaceae) 0.43%
g__RC9	223	3	g__(f__Bradyrhizobiaceae) 92.38%, g__Bacteroides(f__Bacteroidaceae) 5.38%, g__Alistipes(f__Rikenellaceae) 2.24%
g__Clostridium_F	211	1	g__Clostridium 100.0%
g__Chryseobacterium	207	2	g__Chryseobacterium(f__Flavobacteriaceae) 99.52%, g__Flavobacterium(f__Flavobacteriaceae) 0.48%
g__Pasteurella	204	2	g__Pasteurella 99.02%, g__(f__Bradyrhizobiaceae) 0.98%
g__Klebsiella_B	203	3	g__Klebsiella 98.52%, g__Enterobacter 0.99%, g__Escherichia 0.49%
g__Ligilactobacillus	191	2	g__Lactobacillus 97.91%, g__(f__Bradyrhizobiaceae) 2.09%
g__Campylobacter_A	188	1	g__Campylobacter 100.0%
g__Clostridium	188	2	g__Clostridium 99.47%, g__(f__Bradyrhizobiaceae) 0.53%
g__Proteus	186	3	g__Proteus(f__Morganellaceae) 98.39%, g__Shigella 1.08%, g__Cosenzaea(f__Morganellaceae) 0.54%
g__Paraburkholderia	180	4	g__Paraburkholderia 78.89%, g__Burkholderia 18.89%, g__(f__Bradyrhizobiaceae) 1.67%, g__Pseudomonas(f__Pseudomonadaceae) 0.56%
g__Ralstonia	170	2	g__Ralstonia 98.82%, g__(f__Bradyrhizobiaceae) 1.18%
g__Parabacteroides	161	4	g__Parabacteroides 95.03%, g__Bacteroides(f__Bacteroidaceae) 2.48%, g__(f__Bradyrhizobiaceae) 1.86%, g__Porphyromonas(f__Porphyromonadaceae) 0.62%
g__Chlamydophila	157	1	g__Chlamydia 100.0%
g__Nocardia	157	4	g__Nocardia(f__Nocardiaceae) 98.09%, g__Pilimelia(f__Micromonosporaceae) 0.64%, g__Mycobacterium 0.64%, g__Rhodococcus(f__Nocardiaceae) 0.64%
g__Blautia_A	157	3	g__Blautia 54.14%, g__Ruminococcus(f__Ruminococcaceae) 45.22%, g__(f__Bradyrhizobiaceae) 0.64%
g__Clostridium_P	150	1	g__Clostridium 100.0%
g__Bacillus_C	148	1	g__Bacillus(f__Bacillaceae) 100.0%
g__Achromobacter	146	2	g__Achromobacter(f__Alcaligenaceae) 99.32%, g__Bordetella(f__Alcaligenaceae) 0.68%
g__RAAP-2	144	2	g__(f__Bradyrhizobiaceae) 99.31%, g__Ferrimicrobium(f__Acidimicrobiaceae) 0.69%
g__Marinobacter	141	4	g__Marinobacter(f__Alteromonadaceae) 96.45%, g__(f__Bradyrhizobiaceae) 2.13%, g__Alcanivorax(f__Alcanivoracaceae) 0.71%, g__Halomonas(f__Halomonadaceae) 0.71%
g__Mannheimia	134	2	g__Mannheimia 99.25%, g__(f__Bradyrhizobiaceae) 0.75%
g__Alteromonas	130	2	g__Alteromonas 99.23%, g__(f__Bradyrhizobiaceae) 0.77%
g__Methylobacterium	129	3	g__Methylobacterium(f__Methylobacteriaceae) 86.82%, g__Methylorubrum(f__Methylobacteriaceae) 12.4%, g__Streptomyces(f__Streptomycetaceae) 0.78%
g__Elizabethkingia	128	2	g__Elizabethkingia(f__Flavobacteriaceae) 99.22%, g__Chryseobacterium(f__Flavobacteriaceae) 0.78%
g__Sphingobium	127	4	g__Sphingobium 90.55%, g__Sphingomonas 4.72%, g__(f__Bradyrhizobiaceae) 3.94%, g__Novosphingobium 0.79%
g__Ruminococcus_E	127	3	g__(f__Bradyrhizobiaceae) 67.72%, g__Ruminococcus(f__Ruminococcaceae) 29.92%, g__Eubacterium(f__Eubacteriaceae) 2.36%
g__Mycoplasmoides	126	1	g__Mycoplasma(f__Mycoplasmataceae) 100.0%
g__Curtobacterium	123	2	g__Curtobacterium 99.19%, g__Leifsonia 0.81%
g__Porphyromonas	121	2	g__Porphyromonas 98.35%, g__(f__Bradyrhizobiaceae) 1.65%
g__Raoultella	118	3	g__Raoultella 94.92%, g__Klebsiella 4.24%, g__Enterobacter 0.85%
g__Brevundimonas	118	2	g__Brevundimonas 92.37%, g__(f__Bradyrhizobiaceae) 7.63%
g__Cupriavidus	117	3	g__Cupriavidus 97.44%, g__Ralstonia 1.71%, g__(f__Bradyrhizobiaceae) 0.85%
g__UBA9973	116	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Nocardioides	114	3	g__Nocardioides 95.61%, g__Pimelobacter 3.51%, g__(f__Bradyrhizobiaceae) 0.88%
g__Mycoplasmopsis	113	1	g__Mycoplasma(f__Mycoplasmataceae) 100.0%
g__Enterococcus_D	113	2	g__Enterococcus 93.81%, g__(f__Bradyrhizobiaceae) 6.19%
g__Sphingobacterium	109	2	g__Sphingobacterium 99.08%, g__(f__Bradyrhizobiaceae) 0.92%
g__Paracoccus	107	2	g__Paracoccus 99.07%, g__Methylarcula 0.93%
g__Akkermansia	107	2	g__Akkermansia 96.26%, g__(f__Bradyrhizobiaceae) 3.74%
g__Rothia	107	5	g__Rothia 88.79%, g__Kocuria 6.54%, g__(f__Bradyrhizobiaceae) 2.8%, g__Curtobacterium(f__Microbacteriaceae) 0.93%, g__Leifsonia(f__Microbacteriaceae) 0.93%
g__Lysinibacillus	106	2	g__Lysinibacillus(f__Bacillaceae) 98.11%, g__Bacillus(f__Bacillaceae) 1.89%
g__Leclercia	106	3	g__Leclercia 95.28%, g__Enterobacter 3.77%, g__(f__Bradyrhizobiaceae) 0.94%
g__Comamonas	106	3	g__Comamonas(f__Comamonadaceae) 56.6%, g__Delftia(f__Comamonadaceae) 35.85%, g__(f__Bradyrhizobiaceae) 7.55%
g__Idiomarina	103	2	g__Idiomarina(f__Idiomarinaceae) 94.17%, g__(f__Bradyrhizobiaceae) 5.83%
g__Cryobacterium	102	2	g__Cryobacterium 99.02%, g__(f__Bradyrhizobiaceae) 0.98%
g__Aliarcobacter	101	4	g__Arcobacter(f__Campylobacteraceae) 83.17%, g__(f__Bradyrhizobiaceae) 9.9%, g__Aliiarcobacter(f__Campylobacteraceae) 5.94%, g__Pseudoarcobacter(f__Campylobacteraceae) 0.99%
g__Treponema_D	99	1	g__Treponema(f__Spirochaetaceae) 100.0%
g__Pedobacter	98	3	g__Pedobacter 97.96%, g__(f__Bradyrhizobiaceae) 1.02%, g__Nubsella 1.02%
g__Levilactobacillus	97	2	g__Lactobacillus 98.97%, g__(f__Bradyrhizobiaceae) 1.03%
g__Alcanivorax	96	2	g__Alcanivorax 98.96%, g__(f__Bradyrhizobiaceae) 1.04%
g__Dorea	91	9	g__Dorea 71.43%, g__Lachnoclostridium 9.89%, g__(f__Bradyrhizobiaceae) 7.69%, g__Clostridium(f__Clostridiaceae) 4.4%, g__Eubacterium(f__Eubacteriaceae) 2.2%, g__Ruminococcus(f__Ruminococcaceae) 1.1%, g__Merdimonas 1.1%, g__Mordavella(f__Clostridiaceae) 1.1%, g__Extibacter 1.1%
g__Amycolatopsis	90	2	g__Amycolatopsis 96.67%, g__Streptomyces(f__Streptomycetaceae) 3.33%
g__Novosphingobium	88	2	g__Novosphingobium 97.73%, g__Sphingomonas 2.27%
g__Geobacillus	88	3	g__Geobacillus(f__Bacillaceae) 97.73%, g__(f__Bradyrhizobiaceae) 1.14%, g__Anoxybacillus(f__Bacillaceae) 1.14%
g__Terracidiphilus	88	4	g__(f__Bradyrhizobiaceae) 96.59%, g__Terracidiphilus 1.14%, g__Candidatus Sulfotelmatomonas 1.14%, g__Occallatibacter 1.14%
g__Allorhizobium	88	5	g__(f__Bradyrhizobiaceae) 47.73%, g__Rhizobium 30.68%, g__Agrobacterium 18.18%, g__Ciceribacter 2.27%, g__Shinella 1.14%
g__Pelagibacter	87	2	g__(f__Bradyrhizobiaceae) 60.92%, g__Candidatus Pelagibacter 39.08%
g__Erwinia	85	3	g__Erwinia(f__Erwiniaceae) 91.76%, g__(f__Bradyrhizobiaceae) 4.71%, g__Pantoea(f__Erwiniaceae) 3.53%
g__CAG-485	84	2	g__(f__Bradyrhizobiaceae) 98.81%, g__Prevotella(f__Prevotellaceae) 1.19%
g__Gordonia	84	3	g__Gordonia(f__Gordoniaceae) 97.62%, g__Nocardia(f__Nocardiaceae) 1.19%, g__Kroppenstedtia(f__Thermoactinomycetaceae) 1.19%
g__Enterocloster	84	5	g__Lachnoclostridium 57.14%, g__Clostridium(f__Clostridiaceae) 32.14%, g__(f__Bradyrhizobiaceae) 8.33%, g__Dorea 1.19%, g__Hungatella(f__Clostridiaceae) 1.19%
g__Agathobacter	83	5	g__(f__Bradyrhizobiaceae) 65.06%, g__Roseburia 13.25%, g__Lachnobacterium 12.05%, g__Eubacterium(f__Eubacteriaceae) 8.43%, g__Agathobacter 1.2%
g__Erysipelatoclostridium	82	6	g__Coprobacillus(f__Erysipelotrichaceae) 54.88%, g__Erysipelatoclostridium(f__Erysipelotrichaceae) 26.83%, g__(f__Bradyrhizobiaceae) 8.54%, g__Clostridium(f__Clostridiaceae) 6.1%, g__Lachnoclostridium(f__Lachnospiraceae) 2.44%, g__Longibaculum(f__Erysipelotrichaceae) 1.22%
g__Faecalibacterium	81	2	g__Faecalibacterium 97.53%, g__(f__Bradyrhizobiaceae) 2.47%
g__Staphylococcus_A	80	1	g__Staphylococcus 100.0%
g__RF16	80	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Alistipes	80	2	g__Alistipes 98.75%, g__(f__Bradyrhizobiaceae) 1.25%
g__Lentilactobacillus	79	2	g__Lactobacillus 97.47%, g__(f__Bradyrhizobiaceae) 2.53%
g__Helicobacter_E	77	1	g__Helicobacter 100.0%
g__Sphingopyxis	76	2	g__Sphingopyxis 92.11%, g__(f__Bradyrhizobiaceae) 7.89%
g__Dickeya	75	2	g__Dickeya(f__Pectobacteriaceae) 98.67%, g__Erwinia(f__Erwiniaceae) 1.33%
g__Latilactobacillus	74	1	g__Lactobacillus 100.0%
g__Coxiella	74	2	g__Coxiella 98.65%, g__(f__Bradyrhizobiaceae) 1.35%
g__Pseudomonas_D	74	2	g__(f__Bradyrhizobiaceae) 60.81%, g__Pseudomonas 39.19%
g__CAG-791	73	3	g__(f__Bradyrhizobiaceae) 97.26%, g__Sarcina(f__Clostridiaceae) 1.37%, g__Lachnoclostridium 1.37%
g__Ochrobactrum	73	2	g__Ochrobactrum(f__Brucellaceae) 73.97%, g__(f__Bradyrhizobiaceae) 26.03%
g__Kocuria	72	2	g__Kocuria 98.61%, g__Microbacterium(f__Microbacteriaceae) 1.39%
g__CAG-873	72	2	g__(f__Bradyrhizobiaceae) 98.61%, g__Prevotella(f__Prevotellaceae) 1.39%
g__Hyphomonas	72	2	g__Hyphomonas 93.06%, g__(f__Bradyrhizobiaceae) 6.94%
g__Leptospira_A	71	1	g__Leptospira 100.0%
g__AV55	71	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Ruminococcus_D	69	2	g__Ruminococcus 91.3%, g__(f__Bradyrhizobiaceae) 8.7%
g__Bosea	69	5	g__Bosea(f__Bradyrhizobiaceae) 59.42%, g__(f__Bradyrhizobiaceae) 34.78%, g__Bradyrhizobium(f__Bradyrhizobiaceae) 2.9%, g__Methylobacterium(f__Methylobacteriaceae) 1.45%, g__Chelatococcus(f__Chelatococcaceae) 1.45%
g__Macrococcus_B	68	4	g__Macrococcus 91.18%, g__(f__Bradyrhizobiaceae) 5.88%, g__Staphylococcus 1.47%, g__Micrococcus(f__Micrococcaceae) 1.47%
g__Lachnospira	68	5	g__Eubacterium(f__Eubacteriaceae) 70.59%, g__Lachnospira 25.0%, g__(f__Bradyrhizobiaceae) 1.47%, g__Bacteroides(f__Bacteroidaceae) 1.47%, g__Lactobacillus(f__Lactobacillaceae) 1.47%
g__Ensifer	68	3	g__Ensifer 54.41%, g__(f__Bradyrhizobiaceae) 33.82%, g__Sinorhizobium 11.76%
g__Micrococcus	67	2	g__Micrococcus 98.51%, g__(f__Bradyrhizobiaceae) 1.49%
g__Fen-455	66	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Mediterraneibacter	66	6	g__Ruminococcus(f__Ruminococcaceae) 71.21%, g__Blautia 12.12%, g__(f__Bradyrhizobiaceae) 7.58%, g__Lachnoclostridium 4.55%, g__Clostridium(f__Clostridiaceae) 3.03%, g__Mediterraneibacter 1.52%
g__Caballeronia	66	3	g__Caballeronia 63.64%, g__Burkholderia 27.27%, g__Paraburkholderia 9.09%
g__Aerococcus	65	2	g__Aerococcus 98.46%, g__Carnobacterium(f__Carnobacteriaceae) 1.54%
g__C941	64	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Buchnera	64	2	g__Buchnera(f__Erwiniaceae) 98.44%, g__(f__Bradyrhizobiaceae) 1.56%
g__Erythrobacter_A	64	4	g__Erythrobacter(f__Erythrobacteraceae) 60.94%, g__(f__Bradyrhizobiaceae) 32.81%, g__Citromicrobium 3.12%, g__Altererythrobacter(f__Erythrobacteraceae) 3.12%
g__Neorhizobium	64	3	g__Neorhizobium 45.31%, g__(f__Bradyrhizobiaceae) 32.81%, g__Rhizobium 21.88%
g__Capnocytophaga	63	2	g__Capnocytophaga 98.41%, g__Campylobacter(f__Campylobacteraceae) 1.59%
g__Sulfitobacter	63	3	g__Sulfitobacter 84.13%, g__Roseobacter 12.7%, g__(f__Bradyrhizobiaceae) 3.17%
g__Metamycoplasma	62	2	g__Mycoplasma(f__Mycoplasmataceae) 96.77%, g__Chlamydia(f__Chlamydiaceae) 3.23%
g__Nitrosomonas	62	2	g__Nitrosomonas 95.16%, g__(f__Bradyrhizobiaceae) 4.84%
g__Pararhizobium	62	3	g__Rhizobium 58.06%, g__(f__Bradyrhizobiaceae) 38.71%, g__Pararhizobium 3.23%
g__Epibacterium	61	5	g__Epibacterium 88.52%, g__Ruegeria 4.92%, g__(f__Bradyrhizobiaceae) 3.28%, g__Tritonibacter 1.64%, g__Phaeobacter 1.64%
g__Butyrivibrio	60	2	g__Butyrivibrio 98.33%, g__(f__Bradyrhizobiaceae) 1.67%
g__Apilactobacillus	59	1	g__Lactobacillus 100.0%
g__Bog-209	59	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Brevibacillus	59	4	g__Brevibacillus(f__Paenibacillaceae) 93.22%, g__Bacillus(f__Bacillaceae) 3.39%, g__Aeribacillus(f__Bacillaceae) 1.69%, g__Lysinibacillus(f__Bacillaceae) 1.69%
g__Longicatena	59	8	g__(f__Bradyrhizobiaceae) 23.73%, g__Eubacterium(f__Eubacteriaceae) 23.73%, g__Absiella 16.95%, g__Erysipelatoclostridium 16.95%, g__Clostridium(f__Clostridiaceae) 8.47%, g__Solobacterium 6.78%, g__Clostridioides(f__Peptostreptococcaceae) 1.69%, g__Longicatena 1.69%
g__Prochlorococcus_B	58	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__Enterococcus_A	58	2	g__Enterococcus 98.28%, g__(f__Bradyrhizobiaceae) 1.72%
g__Pseudarthrobacter	58	3	g__Arthrobacter 68.97%, g__Pseudarthrobacter 27.59%, g__(f__Bradyrhizobiaceae) 3.45%
g__Pauljensenia	58	10	g__Actinomyces 51.72%, g__Schaalia 32.76%, g__Kytococcus(f__Dermacoccaceae) 3.45%, g__Sanguibacter(f__Sanguibacteraceae) 1.72%, g__Trueperella 1.72%, g__Cellulomonas(f__Cellulomonadaceae) 1.72%, g__Xylanimonas(f__Promicromonosporaceae) 1.72%, g__Isoptericola(f__Promicromonosporaceae) 1.72%, g__Streptomyces(f__Streptomycetaceae) 1.72%, g__(f__Bradyrhizobiaceae) 1.72%
g__GCF-000787395	57	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Fibrobacter	57	2	g__Fibrobacter 91.23%, g__(f__Bradyrhizobiaceae) 8.77%
g__Roseovarius	57	5	g__Roseovarius 85.96%, g__(f__Bradyrhizobiaceae) 7.02%, g__Pelagicola 3.51%, g__Roseobacter 1.75%, g__Pelagivirga 1.75%
g__Clostridium_H	56	1	g__Clostridium 100.0%
g__Mycoplasmopsis_A	56	1	g__Mycoplasma(f__Mycoplasmataceae) 100.0%
g__Haemophilus_D	56	1	g__Haemophilus 100.0%
g__Chromobacterium	56	3	g__Chromobacterium 96.43%, g__Pseudogulbenkiania 1.79%, g__Xenophilus(f__Comamonadaceae) 1.79%
g__Caulobacter	56	2	g__Caulobacter 94.64%, g__(f__Bradyrhizobiaceae) 5.36%
g__Ruminococcus	56	2	g__Ruminococcus 94.64%, g__(f__Bradyrhizobiaceae) 5.36%
g__Hafnia	56	3	g__Hafnia(f__Hafniaceae) 87.5%, g__Obesumbacterium(f__Hafniaceae) 8.93%, g__(f__Bradyrhizobiaceae) 3.57%
g__Acidovorax_D	56	2	g__Acidovorax(f__Comamonadaceae) 83.93%, g__(f__Bradyrhizobiaceae) 16.07%
g__Phyllobacterium	56	2	g__(f__Bradyrhizobiaceae) 67.86%, g__Phyllobacterium(f__Phyllobacteriaceae) 32.14%
g__Pseudomonas_B	55	1	g__Pseudomonas 100.0%
g__Companilactobacillus	55	2	g__Lactobacillus 98.18%, g__(f__Bradyrhizobiaceae) 1.82%
g__Hungatella	54	5	g__Hungatella(f__Clostridiaceae) 51.85%, g__Lachnoclostridium 24.07%, g__Clostridium(f__Clostridiaceae) 20.37%, g__(f__Bradyrhizobiaceae) 1.85%, g__Bacteroides(f__Bacteroidaceae) 1.85%
g__Komagataeibacter	53	2	g__Komagataeibacter 96.23%, g__Gluconacetobacter 3.77%
g__Proteiniphilum	53	2	g__Proteiniphilum(f__Dysgonamonadaceae) 79.25%, g__(f__Bradyrhizobiaceae) 20.75%
g__Helicobacter_C	52	1	g__Helicobacter 100.0%
g__Mucilaginibacter	51	2	g__Mucilaginibacter 98.04%, g__Inquilinus(f__Rhodospirillaceae) 1.96%
g__Polynucleobacter	51	2	g__Polynucleobacter 96.08%, g__(f__Bradyrhizobiaceae) 3.92%
g__Kitasatospora	51	2	g__Kitasatospora 50.98%, g__Streptomyces 49.02%
g__Bacillus_X	50	3	g__Bacillus(f__Bacillaceae) 96.0%, g__Paenibacillus(f__Paenibacillaceae) 2.0%, g__Vibrio(f__Vibrionaceae) 2.0%
g__Lysobacter	50	3	g__Lysobacter 92.0%, g__(f__Bradyrhizobiaceae) 6.0%, g__Vulcaniibacterium 2.0%
g__CAG-83	50	2	g__(f__Bradyrhizobiaceae) 72.0%, g__Oscillibacter 28.0%
g__Roseinatronobacter	50	4	g__(f__Bradyrhizobiaceae) 60.0%, g__Natronohydrobacter 22.0%, g__Rhodobaca 10.0%, g__Roseinatronobacter 8.0%
